feature,catboost_importance,catboost_rank,lightgbm_importance,lightgbm_rank,avg_rank,catboost_norm,lightgbm_norm,combined_score
price_regime_lag,0.5567200443065894,44,5,64,54.0,0.04778035872186307,0.008417508417508417,0.028098933569685743
BB_upper_lag,0.11476886077179291,65,27,46,55.5,0.009850008803986794,0.045454545454545456,0.027652277129266125
williams_r_lag,0.45460512077662585,47,8,60,53.5,0.03901637092042812,0.013468013468013467,0.026242192194220793
close_lag_3,0.2864890836632645,53,16,54,53.5,0.024587854034208694,0.026936026936026935,0.025761940485117815
close_lag_1,0.2381849329905592,57,18,51,54.0,0.020442162370148984,0.030303030303030304,0.025372596336589642
close_lag_5,0.23297090847177027,58,16,55,56.5,0.019994670018400412,0.026936026936026935,0.023465348477213675
keltner_upper_lag,0.35126277123234084,49,8,58,53.5,0.030147039587951688,0.013468013468013467,0.02180752652798258
open_lag_1,0.1592941183840376,63,16,53,58.0,0.013671377915181979,0.026936026936026935,0.020303702425604458
low_lag_1,0.13470634625861938,64,17,52,58.0,0.011561138515077084,0.02861952861952862,0.020090333567302852
keltner_lower_lag,0.2623121424720837,55,8,59,57.0,0.02251287409640024,0.013468013468013467,0.017990443782206853
EMA_10_lag,0.264458069029094,54,4,67,60.5,0.022697047707056626,0.006734006734006734,0.01471552722053168
EMA_20_lag,0.08677885413927508,68,13,56,62.0,0.007447773477262096,0.021885521885521887,0.014666647681391991
high_5d,0.2405943249189757,56,4,65,60.5,0.020648947830486934,0.006734006734006734,0.013691477282246834
uptrend_5d,0.3034825568011251,52,0,96,74.0,0.026046314620927172,0.0,0.013023157310463586
EMA_5_lag,0.20264935573937234,59,5,63,61.0,0.01739233033012432,0.008417508417508417,0.01290491937381637
close_lag_2,0.17148797511846942,62,6,62,62.0,0.014717912623124526,0.010101010101010102,0.012409461362067314
SMA_10_lag,0.04996687487416691,72,12,57,64.5,0.004288394553265564,0.020202020202020204,0.012245207377642883
high_lag_1,0.19429891325775922,60,3,68,64.0,0.016675655690261644,0.005050505050505051,0.010863080370383348
SMA_20_lag,0.1131214288816784,66,6,61,63.5,0.00970861837358196,0.010101010101010102,0.009904814237296031
keltner_middle_lag,0.1055690046871609,67,2,70,68.5,0.009060433453846974,0.003367003367003367,0.00621371841042517
SMA_5_lag,0.01053877369934944,74,4,66,70.0,0.0009044876199322651,0.006734006734006734,0.0038192471769694994
uptrend_10d,0.07699570414715678,69,0,75,72.0,0.006608137073231742,0.0,0.003304068536615871
above_SMA50,0.012435069822433573,73,3,69,71.0,0.0010672367609600325,0.005050505050505051,0.003058870905732542
MACD_cross_lag,0.06818890391438383,70,0,97,83.5,0.005852295643383841,0.0,0.0029261478216919207
above_SMA20,0.06452756340033262,71,0,81,76.0,0.0055380620084477215,0.0,0.0027690310042238608
banking_strength_20d,0.0,94,0,87,90.5,0.0,0.0,0.0
RS_10d_lag,0.0,82,0,77,79.5,0.0,0.0,0.0
banking_strength_10d,0.0,97,0,90,93.5,0.0,0.0,0.0
banking_momentum_5d,0.0,78,0,94,86.0,0.0,0.0,0.0
banking_momentum_20d,0.0,96,0,89,92.5,0.0,0.0,0.0
banking_momentum_10d,0.0,75,0,91,83.0,0.0,0.0,0.0
technology_volatility_20d,0.0,76,0,73,74.5,0.0,0.0,0.0
technology_volatility_5d,0.0,92,0,86,89.0,0.0,0.0,0.0
technology_momentum_5d,0.0,93,0,83,88.0,0.0,0.0,0.0
technology_volatility_10d,0.0,89,0,79,84.0,0.0,0.0,0.0
technology_strength_5d,0.0,91,0,85,88.0,0.0,0.0,0.0
technology_strength_20d,0.0,85,0,74,79.5,0.0,0.0,0.0
technology_strength_10d,0.0,88,0,82,85.0,0.0,0.0,0.0
technology_momentum_20d,0.0,86,0,72,79.0,0.0,0.0,0.0
technology_momentum_10d,0.0,90,0,84,87.0,0.0,0.0,0.0
banking_strength_5d,0.0,98,0,92,95.0,0.0,0.0,0.0
banking_volatility_10d,0.0,87,0,98,92.5,0.0,0.0,0.0
banking_volatility_20d,0.0,95,0,88,91.5,0.0,0.0,0.0
banking_volatility_5d,0.0,84,0,93,88.5,0.0,0.0,0.0
RS_20d_lag,0.0,81,0,78,79.5,0.0,0.0,0.0
ADX_strong_trend_lag,0.0,77,0,95,86.0,0.0,0.0,0.0
leader_beta_lag,0.0,79,0,80,79.5,0.0,0.0,0.0
leader_correlation_lag,0.0,80,0,76,78.0,0.0,0.0,0.0
RS_5d_lag,0.0,83,0,71,77.0,0.0,0.0,0.0
