Dataset,Symbol,Model,Window_Size,N_Folds,Validation_Type,Avg_RMSE,Avg_MAE,Avg_MAPE,Avg_R2,Overall_RMSE,Overall_MAE,Overall_MAPE,Overall_R2
raw,VCB,CatBoostRegressor,5,5,WalkForward,3.99779958795357,3.334429416086185,6.098910640154898,-0.588027763854116,6.0182290569798,4.057828471181685,7.4418473137752645,0.3858782979593055
raw,VCB,SVR,5,5,WalkForward,3.943946074293469,3.2682006779678687,6.078861537460657,-0.41180075923309917,5.952381562960031,3.99997517179407,7.456809979233083,0.3992434090920919
raw,MBB,LinearRegression,3,5,WalkForward,2.0175672319174582,1.5127622733146202,10.208868872510816,-1.0310334332261217,2.6311983867494138,1.833476157359247,12.53775614581446,0.5183391404368918
raw,MBB,RandomForestRegressor,3,5,WalkForward,2.0135677119359423,1.5233621663088865,9.799942373766152,-0.6977214429448543,2.8299730942745565,1.8676728493785575,12.106505095534512,0.44281581497001077
raw,MBB,XGBRegressor,3,5,WalkForward,1.9128177573705887,1.4325882815625293,9.190369557109854,-0.5579708133273068,2.7263930400056804,1.7813593872667193,11.447727898051982,0.48285646855287756
raw,MBB,CatBoostRegressor,3,5,WalkForward,1.986459395712687,1.5019524713305408,9.633640714572433,-0.6236742018898952,2.727285858261837,1.8021813148691457,11.752032514908203,0.4825177127105431
raw,MBB,SVR,3,5,WalkForward,2.0676911286968633,1.5952241882955884,10.858479677771033,-1.045731976611607,2.8754521995209767,1.9873618999911684,13.541802682110681,0.42476345009447547
raw,MBB,LinearRegression,5,5,WalkForward,2.0682067755554607,1.5725195038044932,10.37902549483385,-10.04844379415113,2.5835592958892564,1.8012056083408485,12.325057525028802,0.5360147465293634
raw,MBB,RandomForestRegressor,5,5,WalkForward,2.1134722729427624,1.6410307075181123,10.323055429738512,-11.031463755518477,2.8252744702342403,1.8783572908300457,12.224399402246853,0.4451333775921975
raw,MBB,XGBRegressor,5,5,WalkForward,2.1284386941321767,1.6532492274007489,10.110128856641051,-18.36536005427252,2.818654751598612,1.8473628675315272,11.783117128327781,0.4477304759648071
