date,ticker,article_count,avg_prob_pos,avg_prob_neg,avg_prob_neu,pos_count,neg_count,pos_ratio
2021-07-19,BID,2,0.011168781202286482,0.951081395149231,0.03774983994662762,0,2,0.0
2021-07-20,BID,1,0.10795518755912781,0.05081137269735336,0.8412334322929382,0,0,0.0
2021-07-23,FPT,1,0.05429581180214882,0.4489029049873352,0.4968012273311615,0,0,0.0
2021-07-26,BID,1,0.11029283702373505,0.03295886889100075,0.8567483425140381,0,0,0.0
2021-07-26,FPT,1,0.06648102402687073,0.06368415802717209,0.869834840297699,0,0,0.0
2021-07-27,BID,1,0.12809637188911438,0.03382168337702751,0.838081955909729,0,0,0.0
2021-07-28,BID,1,0.03286375105381012,0.747418999671936,0.21971720457077026,0,1,0.0
2021-07-29,FPT,1,0.8661314845085144,0.008426408283412457,0.12544210255146027,1,0,0.9999999989999999
2021-07-30,FPT,1,0.7976805567741394,0.014058133587241173,0.18826135993003845,1,0,0.9999999989999999
2021-08-03,BID,1,0.8315436244010925,0.011623352766036987,0.15683305263519287,1,0,0.9999999989999999
2021-08-04,BID,1,0.1302318572998047,0.03105876035988331,0.8387093544006348,0,0,0.0
2021-08-06,FPT,1,0.02266949601471424,0.8385083675384521,0.13882210850715637,0,1,0.0
2021-08-08,BID,1,0.18918073177337646,0.0796661451458931,0.7311531901359558,0,0,0.0
2021-08-09,FPT,1,0.12617729604244232,0.03324659913778305,0.8405760526657104,0,0,0.0
2021-08-11,FPT,1,0.6992957592010498,0.0177634134888649,0.2829408049583435,1,0,0.9999999989999999
2021-08-12,BID,1,0.15253512561321259,0.031069105491042137,0.8163958191871643,0,0,0.0
2021-08-16,BID,1,0.1788422167301178,0.02967149391770363,0.7914863228797913,0,0,0.0
2021-08-18,FPT,1,0.20196373760700226,0.03665545955300331,0.7613808512687683,0,0,0.0
2021-08-23,BID,1,0.03804471343755722,0.7064446210861206,0.25551071763038635,0,1,0.0
2021-08-24,BID,1,0.09716837853193283,0.04051557928323746,0.8623160719871521,0,0,0.0
2021-08-24,FPT,1,0.09716837853193283,0.04051557928323746,0.8623160719871521,0,0,0.0
2021-08-26,BID,1,0.0960647314786911,0.059254031628370285,0.8446812629699707,0,0,0.0
2021-08-30,BID,1,0.07598075270652771,0.042674675583839417,0.8813446164131165,0,0,0.0
2021-08-31,BID,1,0.04982157424092293,0.6096721291542053,0.34050631523132324,0,1,0.0
2021-09-02,BID,1,0.03167777135968208,0.7571158409118652,0.2112063616514206,0,1,0.0
2021-09-06,BID,1,0.5428707599639893,0.01824120059609413,0.4388880431652069,1,0,0.9999999989999999
2021-09-06,FPT,1,0.5428707599639893,0.01824120059609413,0.4388880431652069,1,0,0.9999999989999999
2021-09-07,BID,1,0.1356194168329239,0.037036046385765076,0.8273444771766663,0,0,0.0
2021-09-07,FPT,1,0.1356194168329239,0.037036046385765076,0.8273444771766663,0,0,0.0
2021-09-09,BID,2,0.4612963069230318,0.46263415343128145,0.07606955617666245,1,1,0.49999999975
2021-09-14,BID,1,0.07411814481019974,0.06262299418449402,0.8632588982582092,0,0,0.0
2021-09-14,FPT,1,0.07411814481019974,0.06262299418449402,0.8632588982582092,0,0,0.0
2021-09-17,BID,1,0.11127439141273499,0.0373203344643116,0.8514052629470825,0,0,0.0
2021-09-20,BID,1,0.4037519097328186,0.03182992711663246,0.5644181370735168,0,0,0.0
2021-09-20,FPT,1,0.4037519097328186,0.03182992711663246,0.5644181370735168,0,0,0.0
2021-09-24,BID,1,0.004457837902009487,0.9848788380622864,0.010663382709026337,0,1,0.0
2021-09-27,FPT,1,0.00954571645706892,0.9550297856330872,0.03542454168200493,0,1,0.0
2021-09-28,FPT,1,0.0775408148765564,0.08234065026044846,0.8401185274124146,0,0,0.0
2021-09-30,BID,1,0.05436067655682564,0.33534735441207886,0.6102919578552246,0,0,0.0
2021-10-01,BID,1,0.0708935335278511,0.38311904668807983,0.5459874272346497,0,0,0.0
2021-10-05,BID,1,0.6929967999458313,0.014594239182770252,0.29240894317626953,1,0,0.9999999989999999
2021-10-08,BID,1,0.4968140125274658,0.0409095324575901,0.4622763991355896,1,0,0.9999999989999999
2021-10-08,FPT,1,0.39848461747169495,0.025728056207299232,0.575787365436554,0,0,0.0
2021-10-11,BID,1,0.28504452109336853,0.02241809293627739,0.6925373673439026,0,0,0.0
2021-10-11,FPT,1,0.06457702815532684,0.047477781772613525,0.8879451751708984,0,0,0.0
2021-10-12,BID,1,0.1601746380329132,0.035013001412153244,0.8048123121261597,0,0,0.0
2021-10-12,FPT,1,0.1601746380329132,0.035013001412153244,0.8048123121261597,0,0,0.0
2021-10-13,BID,1,0.4800589680671692,0.059407129883766174,0.4605339467525482,1,0,0.9999999989999999
2021-10-18,BID,1,0.13021782040596008,0.0566306933760643,0.813151478767395,0,0,0.0
2021-10-19,BID,1,0.06675585359334946,0.06267277151346207,0.8705713748931885,0,0,0.0
2021-10-22,BID,1,0.10370711237192154,0.03794458135962486,0.8583483099937439,0,0,0.0
2021-10-25,BID,1,0.10647518187761307,0.03939036279916763,0.8541344404220581,0,0,0.0
2021-10-26,FPT,1,0.018372667953372,0.9089978933334351,0.07262938469648361,0,1,0.0
2021-10-28,BID,1,0.7509627342224121,0.023621218279004097,0.22541604936122894,1,0,0.9999999989999999
2021-10-29,BID,1,0.8892132043838501,0.00775525625795126,0.10303155332803726,1,0,0.9999999989999999
2021-11-01,BID,1,0.08772900700569153,0.13655512034893036,0.7757158875465393,0,0,0.0
2021-11-02,BID,1,0.328572541475296,0.02815566025674343,0.643271803855896,0,0,0.0
2021-11-12,FPT,2,0.07847665250301361,0.21544324234127998,0.7060800790786743,0,0,0.0
2021-11-16,FPT,1,0.03341434523463249,0.41046014428138733,0.5561255812644958,0,0,0.0
2021-11-17,BID,1,0.4297625422477722,0.02763497829437256,0.5426024794578552,0,0,0.0
2021-11-22,BID,1,0.08216310292482376,0.05696805939078331,0.8608688116073608,0,0,0.0
2021-11-23,BID,2,0.1621108241379261,0.396441925317049,0.44144727289676666,0,1,0.0
2021-11-25,BID,2,0.4870069921016693,0.4745535743422806,0.03843940421938896,1,1,0.49999999975
2021-11-25,FPT,1,0.0521831251680851,0.05202052369713783,0.8957963585853577,0,0,0.0
2021-11-30,FPT,1,0.9752580523490906,0.005390053149312735,0.01935194805264473,1,0,0.9999999989999999
2021-12-03,BID,1,0.06781288236379623,0.19697774946689606,0.7352093458175659,0,0,0.0
2021-12-07,BID,1,0.19286659359931946,0.04226013273000717,0.7648733258247375,0,0,0.0
2021-12-08,BID,1,0.2829669713973999,0.02256949618458748,0.6944634914398193,0,0,0.0
2021-12-09,FPT,1,0.8847111463546753,0.0096664447337389,0.10562241822481155,1,0,0.9999999989999999
2021-12-10,BID,1,0.05976860225200653,0.21702195703983307,0.7232094407081604,0,0,0.0
