date,ticker,article_count,avg_score,pos_sum,neg_sum,excl_sum,words_sum,pos_ratio
2021-07-23,FPT,1,0.0,11,11,0,469,0.49999999997727274
2021-07-26,BID,1,0.4117647058823529,12,5,0,693,0.705882352899654
2021-07-26,FPT,1,0.0,8,8,0,386,0.49999999996875
2021-07-27,BID,1,0.391304347826087,16,7,0,444,0.6956521738827978
2021-07-28,BID,1,-0.1111111111111111,8,10,0,353,0.44444444441975306
2021-07-29,FPT,1,0.15789473684210525,11,8,0,333,0.5789473683905817
2021-07-30,FPT,1,0.6,16,4,0,407,0.79999999996
2021-08-03,BID,1,0.7037037037037037,23,4,0,379,0.8518518518203018
2021-08-04,BID,1,0.42857142857142855,15,6,0,376,0.7142857142517007
2021-08-06,FPT,1,0.0,8,8,0,400,0.49999999996875
2021-08-08,BID,1,1.0,12,0,0,509,0.9999999999166667
2021-08-09,FPT,1,0.75,14,2,0,410,0.8749999999453125
2021-08-11,FPT,1,0.23809523809523808,13,8,0,391,0.6190476190181405
2021-08-12,BID,1,0.5362318840579711,53,16,0,1626,0.7681159420178534
2021-08-16,BID,1,0.38461538461538464,9,4,0,548,0.6923076922544379
2021-08-18,FPT,1,0.45454545454545453,8,3,0,671,0.7272727272066115
2021-08-23,BID,1,-0.1724137931034483,12,17,0,442,0.41379310343400716
2021-08-24,BID,1,0.2,9,6,0,322,0.59999999996
2021-08-24,FPT,1,0.2,9,6,0,322,0.59999999996
2021-08-26,BID,1,0.0,8,8,0,445,0.49999999996875
2021-08-30,BID,1,-0.09090909090909091,5,6,0,521,0.45454545450413225
2021-08-31,BID,1,0.047619047619047616,11,10,0,337,0.5238095237845805
2021-09-02,BID,1,0.2413793103448276,18,11,0,606,0.6206896551510107
2021-09-06,BID,1,0.6190476190476191,17,4,0,475,0.8095238094852608
2021-09-06,FPT,1,0.6190476190476191,17,4,0,475,0.8095238094852608
2021-09-07,BID,1,0.05263157894736842,10,9,0,363,0.5263157894459833
2021-09-07,FPT,1,0.05263157894736842,10,9,0,363,0.5263157894459833
2021-09-09,BID,2,0.5,12,3,0,1395,0.7999999999466667
2021-09-14,BID,1,-0.3333333333333333,8,16,0,464,0.3333333333194444
2021-09-14,FPT,1,-0.3333333333333333,8,16,0,464,0.3333333333194444
2021-09-17,BID,1,0.38461538461538464,9,4,0,394,0.6923076922544379
2021-09-20,BID,1,0.8,9,1,0,471,0.89999999991
2021-09-20,FPT,1,0.8,9,1,0,471,0.89999999991
2021-09-24,BID,1,-0.06666666666666667,7,8,0,459,0.46666666663555556
2021-09-27,FPT,1,-0.4,6,14,0,448,0.299999999985
2021-09-28,FPT,1,0.18181818181818182,13,9,0,427,0.5909090908822314
2021-09-30,BID,1,0.0,2,2,0,401,0.499999999875
2021-10-01,BID,1,-0.21428571428571427,11,17,0,378,0.39285714284311224
2021-10-05,BID,1,0.3076923076923077,17,9,0,462,0.6538461538210059
2021-10-08,BID,1,0.5384615384615384,10,3,0,980,0.7692307691715976
2021-10-08,FPT,1,0.5,12,4,0,436,0.749999999953125
2021-10-11,BID,1,0.8181818181818182,10,1,0,553,0.9090909090082645
2021-10-11,FPT,1,0.391304347826087,32,14,0,955,0.6956521738979207
2021-10-12,BID,1,0.1,11,9,0,571,0.5499999999725
2021-10-12,FPT,1,0.1,11,9,0,571,0.5499999999725
2021-10-13,BID,1,0.7142857142857143,6,1,0,701,0.8571428570204082
2021-10-18,BID,1,0.3684210526315789,13,6,0,416,0.6842105262797784
2021-10-19,BID,1,0.04,13,12,0,421,0.5199999999792
2021-10-22,BID,1,-0.047619047619047616,10,11,0,410,0.47619047616780047
2021-10-25,BID,1,0.3333333333333333,10,5,0,655,0.6666666666222222
2021-10-26,FPT,1,0.05263157894736842,10,9,0,421,0.5263157894459833
2021-10-28,BID,1,0.47368421052631576,14,5,0,486,0.7368421052243768
2021-10-29,BID,1,0.52,19,6,0,370,0.7599999999696
2021-11-01,BID,1,0.05263157894736842,10,9,0,447,0.5263157894459833
2021-11-02,BID,1,0.4074074074074074,19,8,0,814,0.7037037036776406
2021-11-12,FPT,2,0.28205128205128205,12,7,0,1001,0.63157894733518
2021-11-16,FPT,1,-0.3333333333333333,1,2,0,669,0.3333333332222222
2021-11-17,BID,1,0.5238095238095238,16,5,0,439,0.7619047618684808
2021-11-22,BID,1,0.15789473684210525,11,8,0,409,0.5789473683905817
2021-11-23,BID,2,0.6875,12,5,0,1068,0.705882352899654
2021-11-25,BID,2,0.16,21,9,0,1107,0.6999999999766666
2021-11-25,FPT,1,1.0,1,0,0,473,0.9999999989999999
2021-11-30,FPT,1,1.0,7,0,0,714,0.9999999998571428
2021-12-03,BID,1,-0.30434782608695654,8,15,0,449,0.3478260869413989
2021-12-07,BID,1,0.3333333333333333,14,7,0,478,0.6666666666349206
2021-12-08,BID,1,0.29411764705882354,11,6,0,342,0.6470588234913495
2021-12-09,FPT,1,0.3333333333333333,10,5,0,342,0.6666666666222222
2021-12-10,BID,1,0.25,10,6,0,418,0.6249999999609375
2021-12-10,FPT,1,0.25,10,6,0,418,0.6249999999609375
2021-12-13,BID,1,0.0,7,7,0,545,0.49999999996428574
2021-12-15,BID,1,-0.14285714285714285,9,12,0,483,0.42857142855102043
2021-12-15,FPT,1,-0.14285714285714285,9,12,0,483,0.42857142855102043
2021-12-21,BID,1,0.375,11,5,0,341,0.6874999999570313
2021-12-25,FPT,1,0.6,4,1,0,877,0.79999999984
2021-12-27,BID,1,0.5454545454545454,17,5,0,422,0.7727272726921488
2021-12-31,BID,1,0.45454545454545453,8,3,0,417,0.7272727272066115
2022-01-03,BID,1,0.3333333333333333,4,2,0,667,0.6666666665555555
2022-01-04,FPT,1,0.8333333333333334,11,1,0,719,0.9166666665902777
2022-01-12,BID,1,0.23809523809523808,13,8,0,428,0.6190476190181405
2022-01-17,BID,1,-0.3333333333333333,19,38,0,1169,0.3333333333274854
2022-01-19,BID,1,-0.125,7,9,0,403,0.43749999997265626
2022-01-20,BID,1,0.4166666666666667,17,7,0,455,0.7083333333038194
2022-01-21,BID,1,0.15789473684210525,11,8,0,468,0.5789473683905817
2022-01-24,FPT,1,-0.2903225806451613,11,20,0,597,0.3548387096659729
2022-01-25,BID,1,0.36363636363636365,15,7,0,564,0.6818181817871901
2022-02-07,BID,1,0.4838709677419355,46,16,0,1557,0.7419354838590011
2022-02-07,FPT,1,0.4838709677419355,46,16,0,1557,0.7419354838590011
2022-02-09,BID,1,0.5555555555555556,14,4,0,453,0.7777777777345679
2022-02-11,BID,1,-0.16666666666666666,5,7,0,386,0.41666666663194446
2022-02-15,BID,1,0.2727272727272727,14,8,0,457,0.6363636363347107
2022-02-16,BID,1,-0.07692307692307693,6,7,0,419,0.4615384615029586
2022-02-18,BID,1,0.1,11,9,0,386,0.5499999999725
2022-02-23,BID,1,0.5238095238095238,16,5,0,354,0.7619047618684808
2022-03-02,BID,1,-0.047619047619047616,10,11,0,409,0.47619047616780047
2022-03-04,BID,1,0.44,18,7,0,407,0.7199999999712
2022-03-07,BID,1,0.3684210526315789,13,6,0,418,0.6842105262797784
2022-03-08,FPT,1,-0.05263157894736842,9,10,0,413,0.47368421050138504
2022-03-09,BID,1,-0.058823529411764705,8,9,0,433,0.470588235266436
2022-03-09,FPT,1,-0.058823529411764705,8,9,0,433,0.470588235266436
