source,date,title,description,url,matched_tickers,macro_hits
VnExpress,2025-03-04 08:06,1.300 điểm lần này của VN-Index khác trước ra sao?,"Theo Dragon Capital, chứng khoán vượt 1.300 điểm khác những lần trước nhờ lãi suất nới lỏng, tăng đầu tư công, triển vọng nâng hạng và thanh khoản cải thiện.",https://vnexpress.net/1-300-diem-lan-nay-cua-vn-index-khac-truoc-ra-sao-4856275.html,,lãi suất
VnExpress,2025-03-03 09:00,Chứng khoán DNSE đặt mục tiêu thu hơn 840 tỷ đồng năm 2025,"DNSE đặt mục tiêu tổng doanh thu năm 2025 là 849 tỷ đồng, lợi nhuận sau thuế là 262 tỷ đồng, tăng 44% so với năm 2024.",https://vnexpress.net/chung-khoan-dnse-dat-muc-tieu-thu-hon-840-ty-dong-nam-2025-4855828.html,,thuế
VnExpress,2025-02-27 16:02,Cổ phiếu ngành thép hút dòng tiền,"Kiến nghị của Hiệp hội Thép liên quan áp thuế chống bán phá giá tôn mạ từ Trung Quốc giúp HSG, NKG, TLH cùng tăng trần, còn HPG hút hơn 1.400 tỷ đồng.",https://vnexpress.net/co-phieu-nganh-thep-hut-dong-tien-4854787.html,,thuế
VnExpress,2025-02-19 13:07,Đơn vị điều hành HoSE và HNX ước lãi kỷ lục,"Sở Giao dịch chứng khoán Việt Nam (VNX) ước lãi sau thuế năm ngoái đạt 2.203 tỷ đồng, tăng 15% so với cùng kỳ, cao nhất từ khi thành lập.",https://vnexpress.net/don-vi-dieu-hanh-hose-va-hnx-uoc-lai-ky-luc-4851409.html,,thuế
VnExpress,2025-01-31 09:00,Các quỹ mở thắng lớn nhờ đầu tư cổ phiếu nào?,"19 quỹ mở có hiệu suất cao hơn VN-Index chủ yếu đầu tư vào cổ phiếu ngân hàng và công nghệ, dẫn đầu là hai mã FPT và ACB.",https://vnexpress.net/cac-quy-mo-thang-lon-nho-dau-tu-co-phieu-nao-4842313.html,"ACB, FPT",
VnExpress,2025-01-20 16:02,Cổ phiếu Cao su Tây Ninh lập đỉnh sau khi báo lãi cao nhất 10 năm,"Mã TRC của Cao su Tây Ninh tím trần hai phiên liên tiếp, đưa thị giá lên đỉnh mới, sau khi doanh nghiệp này báo lãi sau thuế 221 tỷ đồng, cao nhất kể từ năm 2014.",https://vnexpress.net/chung-khoan-hom-nay-20-1-co-phieu-lap-dinh-khi-doanh-nghiep-cao-su-bao-lai-cao-nhat-10-nam-4841177.html,,thuế
VnExpress,2025-01-11 10:04,"Thắng lớn nhờ cổ phiếu công nghệ, viễn thông năm 2024","Cuối 2023, nhiều người mua cổ phiếu FPT, VGI với suy nghĩ đầu tư dài hạn nhưng cuối cùng lại có lãi ngay trong khi những mã định ""lướt sóng"" lại lỗ.",https://vnexpress.net/thang-lon-nho-co-phieu-cong-nghe-vien-thong-nam-2024-4838017.html,FPT,
VnExpress,2025-01-09 15:54,Cổ phiếu Yeah1 nằm sàn,"Mã YEG của Yeah1 giảm hết biên độ sau loạt thông tin sẽ dừng sản xuất hai show ăn khách, bị phạt thuế và chào bán thêm 55 triệu cổ phiếu.",https://vnexpress.net/chung-khoan-hom-nay-9-1-co-phieu-yeah1-nam-san-4837446.html,,thuế
VnExpress,2025-01-04 00:00,Năm bán ròng kỷ lục của khối ngoại,"Trước bối cảnh chênh lệch lãi suất và chưa nâng hạng thị trường, nhà đầu tư nước ngoài bán ròng 3,5 tỷ USD - mức kỷ lục trong lịch sử chứng khoán Việt Nam.",https://vnexpress.net/nam-ban-rong-ky-luc-cua-khoi-ngoai-4835087.html,,lãi suất
VnExpress,2025-01-03 16:07,Chứng khoán giảm mạnh nhất 5 tháng,"Lực bán chủ động tăng lên trong bối cảnh áp lực tỷ giá xuất hiện khiến VN-Index giảm hơn 15 điểm, mạnh nhất kể từ đầu tháng 8.",https://vnexpress.net/chung-khoan-hom-nay-3-1-vn-index-giam-manh-nhat-5-thang-4835248.html,,tỷ giá
VnExpress,2025-01-02 16:01,Chứng khoán tăng 3 điểm phiên đầu năm,"Nhờ lực đỡ của một số mã trụ như VCB, BID hay HPG, chứng khoán đảo chiều tăng gần 3 điểm, nhưng thanh khoản thấp nhất 3,5 tháng.",https://vnexpress.net/chung-khoan-hom-nay-2-1-vn-index-tang-3-diem-phien-dau-nam-4834807.html,"BID, VCB",
VnExpress,2024-12-25 23:02,Doanh nghiệp bị phạt vì giấu khoản lỗ hàng chục tỷ,"Quốc Tế Holding lỗ sau thuế hơn 70,8 tỷ đồng sau kiểm toán năm 2023 nhưng lại công bố chỉ thâm hụt hơn 4,4 tỷ lợi nhuận nên bị phạt.",https://vnexpress.net/doanh-nghiep-bi-phat-vi-giau-khoan-lo-hang-chuc-ty-4832047.html,,thuế
VnExpress,2024-12-22 11:50,Công ty chứng khoán của bà Nguyễn Thanh Phượng thanh toán thay nhà đầu tư ngoại,"Tổ chức Hà Lan mua 26.600 cổ phiếu FPT gần 4 tỷ đồng nhưng chậm trả, công ty chứng khoán của bà Nguyễn Thanh Phượng phải thanh toán thay theo quy định mới.",https://vnexpress.net/cong-ty-chung-khoan-cua-ba-nguyen-thanh-phuong-thanh-toan-thay-nha-dau-tu-ngoai-4830592.html,FPT,
VnExpress,2024-12-18 16:01,Khối ngoại đảo chiều mua ròng,"Sau 7 phiên xả hàng liên tiếp trên sàn HoSE, khối ngoại trở lại mua ròng nhưng giá trị rất thấp, tập trung các mã FPT, HDB, MCH, HPG, DBC.",https://vnexpress.net/chung-khoan-hom-nay-18-12-khoi-ngoai-dao-chieu-mua-rong-4829336.html,FPT,
VnExpress,2024-12-11 16:01,Cổ phiếu FPT lập đỉnh giá mới,"Trong phiên hôm nay, có lúc FPT lên 151.700 đồng - mức cao nhất lịch sử - trước khi chốt phiên tăng 0,7% với thanh khoản cao nhất thị trường chứng khoán.",https://vnexpress.net/chung-khoan-hom-nay-11-12-co-phieu-fpt-lap-dinh-gia-moi-4826610.html,FPT,
VnExpress,2024-11-29 15:33,Cổ phiếu FPT lập đỉnh,"Cổ phiếu FPT tăng lên 144.300 đồng, lập đỉnh giá mới và đóng góp lớn giúp VN-Index trở lại mốc 1.250 điểm trong phiên hôm nay.",https://vnexpress.net/chung-khoan-hom-nay-29-11-co-phieu-fpt-lap-dinh-moi-4821943.html,FPT,
VnExpress,2024-11-26 13:34,Kiến nghị cắt lỗ chứng khoán không cần đóng thuế,"Bộ Tài chính ghi nhận ý kiến rằng bán chứng khoán lỗ vẫn đóng thuế 0,1% là chưa phù hợp và cần xác định lại có lãi mới phải nộp.",https://vnexpress.net/kien-nghi-cat-lo-chung-khoan-khong-can-dong-thue-4820520.html,,thuế
VnExpress,2024-11-11 16:01,Cổ phiếu ngân hàng tiếp tục giảm sâu,"BID, STB, TCB, VPB, MBB cùng loạt cổ phiếu ngân hàng khác điều chỉnh giá khá mạnh khiến VN-Index bị nhuộm đỏ, giảm hơn 2 điểm về sát 1.250 điểm.",https://vnexpress.net/chung-khoan-hom-nay-11-11-co-phieu-ngan-hang-tiep-tuc-chiet-khau-4814765.html,"BID, MBB",
VnExpress,2024-10-31 16:02,Cổ phiếu ngân hàng hút dòng tiền,"VCB góp mức tăng nhiều nhất cho VN-Index, đi kèm các cổ phiếu ngân hàng khác tăng giá đưa ngành này trở thành bệ đỡ của thị trường chứng khoán hôm nay.",https://vnexpress.net/chung-khoan-hom-nay-31-10-co-phieu-ngan-hang-hut-dong-tien-4810720.html,VCB,
