Dataset,Symbol,Model,Window_Size,Forecast_Type,RMSE,MAE,MAPE,R2
Raw,MBB,SVR,3,Recursive,2.5733515384037555,2.1059585330324557,9.49593420712796,0.5376875450669707
With_Indicators,MBB,SVR,3,Recursive,2.5733515384037555,2.1059585330324557,9.49593420712796,0.5376875450669707
Raw,MBB,LinearRegression,5,Recursive,3.694335094496688,2.4065398133473517,9.867058590493384,0.04718205307043877
With_Indicators,MBB,LinearRegression,5,Recursive,3.694335094496688,2.4065398133473517,9.867058590493384,0.04718205307043877
Raw,MBB,RandomForestRegressor,5,Recursive,3.7133313473229377,2.4148609462860033,9.889498030644395,0.03735809009312585
With_Indicators,MBB,RandomForestRegressor,5,Recursive,3.7133313473229377,2.4148609462860033,9.889498030644395,0.03735809009312585
Raw,MBB,XGBRegressor,5,Recursive,3.8693949802185568,2.5188472994786766,10.293154698575682,-0.045257964670697204
With_Indicators,MBB,XGBRegressor,5,Recursive,3.8693949802185568,2.5188472994786766,10.293154698575682,-0.045257964670697204
Raw,MBB,CatBoostRegressor,5,Recursive,3.9714862746748345,2.593702981783033,10.599993997867054,-0.10114241001526825
With_Indicators,MBB,CatBoostRegressor,5,Recursive,3.9714862746748345,2.593702981783033,10.599993997867054,-0.10114241001526825
Raw,MBB,SVR,5,Recursive,2.490865500771089,2.0540153587539676,9.292098711758014,0.5668504048525818
With_Indicators,MBB,SVR,5,Recursive,2.490865500771089,2.0540153587539676,9.292098711758014,0.5668504048525818
Raw,FPT,LinearRegression,3,Recursive,19.79068807259935,18.694059576308348,18.472133455796822,-15.5290717566328
With_Indicators,FPT,LinearRegression,3,Recursive,19.79068807259935,18.694059576308348,18.472133455796822,-15.5290717566328
Raw,FPT,RandomForestRegressor,3,Recursive,17.5012014718467,16.574724326105084,16.407218637164053,-11.92594805222728
With_Indicators,FPT,RandomForestRegressor,3,Recursive,17.5012014718467,16.574724326105084,16.407218637164053,-11.92594805222728
Raw,FPT,XGBRegressor,3,Recursive,34.49510188096635,32.32647545443184,31.756489574820918,-49.215933600984734
With_Indicators,FPT,XGBRegressor,3,Recursive,34.49510188096635,32.32647545443184,31.756489574820918,-49.215933600984734
Raw,FPT,CatBoostRegressor,3,Recursive,18.69081916016624,17.783895327918017,17.58781155919037,-13.742914557114435
With_Indicators,FPT,CatBoostRegressor,3,Recursive,18.69081916016624,17.783895327918017,17.58781155919037,-13.742914557114435
Raw,FPT,SVR,3,Recursive,21.2333110658665,20.526201891201442,20.27268242349199,-18.026640908982976
With_Indicators,FPT,SVR,3,Recursive,21.2333110658665,20.526201891201442,20.27268242349199,-18.026640908982976
Raw,FPT,LinearRegression,5,Recursive,19.04492486096952,18.02407667108376,17.8199828975572,-14.306828085179786
With_Indicators,FPT,LinearRegression,5,Recursive,19.04492486096952,18.02407667108376,17.8199828975572,-14.306828085179786
Raw,FPT,RandomForestRegressor,5,Recursive,17.76116080561802,16.810193621704297,16.63662066067787,-12.312798849006828
With_Indicators,FPT,RandomForestRegressor,5,Recursive,17.76116080561802,16.810193621704297,16.63662066067787,-12.312798849006828
Raw,FPT,XGBRegressor,5,Recursive,22.32684091446929,21.090152292191505,20.791382348326024,-20.036875332647707
With_Indicators,FPT,XGBRegressor,5,Recursive,22.32684091446929,21.090152292191505,20.791382348326024,-20.036875332647707
Raw,FPT,CatBoostRegressor,5,Recursive,28.75783877186459,26.890339831648056,26.455307193574356,-33.901104134136396
With_Indicators,FPT,CatBoostRegressor,5,Recursive,28.75783877186459,26.890339831648056,26.455307193574356,-33.901104134136396
Raw,FPT,SVR,5,Recursive,17.09321895721236,16.30307093231789,16.146199929463926,-11.330321174616001
With_Indicators,FPT,SVR,5,Recursive,17.09321895721236,16.30307093231789,16.146199929463926,-11.330321174616001
